,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,mean,std,min,max,n_slices,shape_x,shape_y
0,0,0.0,0.0,0.0,0.0,reco_33ms_pos0,0.015,0.0093,-0.035,0.103,2150,4665,4665
1,1,1.0,1.0,1.0,1.0,reco_33ms_pos1,0.0169,0.0125,-0.0708,0.0924,2150,4675,4675
2,2,2.0,2.0,2.0,2.0,reco_33ms_pos2,0.0174,0.0128,-0.0789,0.1027,2150,4680,4680
3,3,3.0,3.0,3.0,3.0,reco_33ms_pos3,0.0169,0.0115,-0.0585,0.0998,2150,4675,4675
4,4,4.0,4.0,4.0,4.0,reco_33ms_pos5,0.0165,0.0099,-0.0602,0.1149,2150,4652,4652
5,5,5.0,5.0,5.0,5.0,reco_33ms_pos7,0.0171,0.011,-0.0869,0.1126,2150,4647,4647
6,6,6.0,6.0,6.0,,reco_15ms_pos1,0.0166721809655427,0.0127089722082018,-0.084228515625,0.09552001953125,2150,4675,4675
7,7,7.0,7.0,7.0,,reco_15ms_pos2,0.0172337889671325,0.0130108930170536,-0.1197509765625,0.10455322265625,2150,4680,4680
8,8,8.0,8.0,8.0,,reco_15ms_pos3,0.0167287848889827,0.0117408372461795,-0.1005859375,0.12158203125,2150,4675,4675
9,9,9.0,9.0,9.0,,reco_15ms_pos5,0.0161802396178245,0.0100779253989458,-0.1177978515625,0.122314453125,2150,4652,4652
10,10,10.0,10.0,10.0,,reco_15ms_pos7,0.0166695937514305,0.0111242597922682,-0.1453857421875,0.10394287109375,2150,4647,4647
11,11,11.0,11.0,,,reco_15ms_pos4,0.0157247632741928,0.0100383982062339,-0.071533203125,0.98388671875,2150,4662,4662
12,12,12.0,,,,reco_33ms_pos4,0.016,0.0099,-0.0445,0.9803,2150,4662,4662
13,13,,,,,reco_25ms_pos1,0.0169,0.0127,-0.0912,0.0948,2150,4675,4675
14,14,,,,,reco_50ms_pos1,0.0169,0.0124,-0.0431,0.0919,2150,4675,4675
15,15,,,,,reco_67ms_pos1,0.0169,0.0123,-0.0393,0.089,2150,4675,4675
16,16,,,,,reco_100ms_pos1,0.0169,0.0122,-0.0241,0.0855,2150,4675,4675
17,17,,,,,reco_200ms_pos1,0.0171,0.0123,-0.0225,0.0892,2150,4675,4675
18,18,,,,,reco_25ms_pos2,0.0174,0.0129,-0.0858,0.106,2150,4680,4680
19,19,,,,,reco_50ms_pos2,0.0175,0.0127,-0.0605,0.1036,2150,4680,4680
20,20,,,,,reco_67ms_pos2,0.0175,0.0126,-0.0571,0.0981,2150,4680,4680
21,21,,,,,reco_100ms_pos2,0.0175,0.0126,-0.0357,0.0928,2150,4680,4680
22,22,,,,,reco_200ms_pos2,0.0176,0.0127,-0.0285,0.102,2150,4680,4680
23,23,,,,,reco_25ms_pos3,0.0169,0.0115,-0.0875,0.1076,2150,4675,4675
24,24,,,,,reco_50ms_pos3,0.017,0.0114,-0.0481,0.098,2150,4675,4675
25,25,,,,,reco_67ms_pos3,0.017,0.0114,-0.0431,0.0912,2150,4675,4675
26,26,,,,,reco_100ms_pos3,0.017,0.0114,-0.0315,0.1011,2150,4675,4675
27,27,,,,,reco_200ms_pos3,0.0171,0.0115,-0.0268,0.087,2150,4675,4675
28,28,,,,,reco_25ms_pos4,0.0159,0.0099,-0.063,0.981,2150,4662,4662
29,29,,,,,reco_50ms_pos4,0.016,0.0099,-0.0311,0.9946,2150,4662,4662
30,30,,,,,reco_67ms_pos4,0.016,0.0099,-0.0236,0.9976,2150,4662,4662
31,31,,,,,reco_100ms_pos4,0.0161,0.0099,-0.0161,0.9873,2150,4662,4662
32,32,,,,,reco_200ms_pos4,0.0161,0.0099,-0.0161,1.0029,2150,4662,4662
33,33,,,,,reco_25ms_pos5,0.0164,0.01,-0.0765,0.1216,2150,4652,4652
34,34,,,,,reco_50ms_pos5,0.0165,0.0099,-0.0316,0.0995,2150,4652,4652
35,35,,,,,reco_67ms_pos5,0.0166,0.0099,-0.0206,0.0856,2150,4652,4652
36,36,,,,,reco_100ms_pos5,0.0166,0.0099,-0.0141,0.0723,2150,4652,4652
37,37,,,,,reco_200ms_pos5,0.0167,0.01,-0.0118,0.0745,2150,4652,4652
38,38,,,,,reco_25ms_pos7,0.0168,0.0109,-0.1246,0.1257,2150,4647,4647
39,39,,,,,reco_50ms_pos7,0.0171,0.0109,-0.0594,0.1063,2150,4647,4647
40,40,,,,,reco_67ms_pos7,0.0171,0.0109,-0.0406,0.0881,2150,4647,4647
41,41,,,,,reco_100ms_pos7,0.0171,0.0109,-0.0387,0.076,2150,4647,4647
42,42,,,,,reco_200ms_pos7,0.0172,0.011,-0.0183,0.0782,2150,4647,4647
