,identifier
0,3b570d2a5969_a32bac03a19f.dcm_0
1,3b570d2a5969_35c61f958dac.dcm_1
2,3b570d2a5969_b524c2e39a28.dcm_2
3,3b570d2a5969_bbf86c460b07.dcm_3
4,3b570d2a5969_34c3e85512a7.dcm_4
5,3b570d2a5969_e3eb2e4156fb.dcm_5
6,3b570d2a5969_d3dea1178177.dcm_6
7,3b570d2a5969_42aaf21a271b.dcm_7
8,3b570d2a5969_dcd264ae1dd1.dcm_8
9,3b570d2a5969_2a475a422195.dcm_9
10,3b570d2a5969_78aff8e20210.dcm_10
11,3b570d2a5969_5bad819b7fdc.dcm_11
12,3b570d2a5969_a60b4676c9fc.dcm_12
13,3b570d2a5969_0a2d6dccd4a0.dcm_13
14,3b570d2a5969_8cf2cd3bad4f.dcm_14
15,3b570d2a5969_9e92d028a347.dcm_15
16,3b570d2a5969_3a29be71e83a.dcm_16
17,3b570d2a5969_173b620692e1.dcm_17
18,3b570d2a5969_565f2289fd1e.dcm_18
19,3b570d2a5969_85c8310d0e62.dcm_19
20,3b570d2a5969_ef4eede6182b.dcm_20
21,3b570d2a5969_c48c01e9221e.dcm_21
22,3b570d2a5969_3019950e2ef3.dcm_22
23,3b570d2a5969_118f766ae932.dcm_23
24,3b570d2a5969_d6352f066246.dcm_24
25,3b570d2a5969_9ce0f7f0783a.dcm_25
26,3b570d2a5969_ff18682efd35.dcm_26
27,3b570d2a5969_a5ee048196ec.dcm_27
28,3b570d2a5969_169453ef4a71.dcm_28
29,3b570d2a5969_7282a4307e2e.dcm_29
30,3b570d2a5969_a8c117360203.dcm_30
31,3b570d2a5969_422458052ba9.dcm_31
32,3b570d2a5969_2e957ba5cf58.dcm_32
33,3b570d2a5969_a6bffb1ad6d5.dcm_33
34,3b570d2a5969_fc94e17a0b48.dcm_34
35,3b570d2a5969_ba1ff7fe9c63.dcm_35
36,3b570d2a5969_071bc12a2460.dcm_36
37,3b570d2a5969_0b00237d922f.dcm_37
38,3b570d2a5969_e9812d4eaaf6.dcm_38
39,3b570d2a5969_be51ca133cfa.dcm_39
40,3b570d2a5969_8132ab4224e6.dcm_40
41,3b570d2a5969_a6dec583bc76.dcm_41
42,3b570d2a5969_949c6bdf2582.dcm_42
43,3b570d2a5969_8f1dc83f529a.dcm_43
44,3b570d2a5969_efd56f545dff.dcm_44
45,3b570d2a5969_3724344f3e1a.dcm_45
46,3b570d2a5969_2b8426a0ae88.dcm_46
47,3b570d2a5969_77ed09bbfd87.dcm_47
48,3b570d2a5969_b00b53a84d3f.dcm_48
49,3b570d2a5969_c8573dbc9a3d.dcm_49
50,3b570d2a5969_80f889966a4a.dcm_50
51,3b570d2a5969_23077c00d267.dcm_51
52,3b570d2a5969_1946591ebc90.dcm_52
53,3b570d2a5969_e48ebe3ae8f1.dcm_53
54,3b570d2a5969_079566af8084.dcm_54
55,3b570d2a5969_70979fcddd95.dcm_55
56,3b570d2a5969_f04beda1497e.dcm_56
57,3b570d2a5969_e6c77d560724.dcm_57
58,3b570d2a5969_78625fa4be4e.dcm_58
59,3b570d2a5969_9f894734c765.dcm_59
